CONNECTION ID,# EDGES,EDGE IDS
road639,1,-26839390
road640,1,-8096701#1
road641,2,-8096701#2,8096701#2
road642,1,8096701#3
road643,1,9344819#0
road644,1,-8386772#1
road645,2,-8386772#2,8386772#2
road646,1,8386768#0
road647,2,-17896746,68028615
road648,4,-26838537,-68028615,26838537,68028615
road649,2,-26838537,166366049#1
road650,2,-166366049#1,26838537
road651,2,-166366049#2,166366049#2
road652,1,17513374#0
road653,4,-26838535,26838535,673447483#2,673447483#3
road654,2,-26838535,673441932
road655,6,-206996916,-648541446#2,-648541446#3,206996916,648541446#2,648541446#3
road656,1,-648541446#2
road657,1,96885307
road658,1,-648541446#2
road659,1,648541446#2
road660,1,299652848
road661,1,299652848
road662,3,35468458#0,8347028#0,8347028#1
road663,1,35468458#1
road664,1,8347028#2
road665,5,-584351058,4136312,43573215#1,500005092,584351058
road666,1,-584351058
road667,1,43573215#2
road668,1,500005092
road669,1,-500005090#0
road670,1,500005090#1
road671,1,-637034136#0
road672,3,-637034136#1,637034136#1,7744565#0
road673,1,637034136#2
road674,1,7744565#0
road675,1,-4607834
road676,4,-637034135,-637034136#3,637034135,637034136#3
road677,1,-637034136#2
road678,1,4607839#0
road679,1,4607885#0
road680,1,637034137#0
road681,1,-4607839#0
road682,1,4607838
road683,1,4607839#1
road684,1,-4607839#1
road685,1,4607839#1
road686,8,-166482547#0,-41518095#2,-41518095#3,-41518095#4,166482547#0,41518095#2,41518095#3,41518095#4
road687,1,-41518095#1
road688,1,-4607839#1
road689,1,-48379501
road690,1,166482547#0
road691,6,-41518095#0,154540891#0,154540891#1,2509158#1,41518095#0,603759508
road692,1,233811586#0
road693,1,30446946
road694,1,41518095#1
road695,1,233811586#1
road696,1,-2467171#1
road697,14,-330481,-690824735#0,-690824735#1,-690824735#2,-690824735#3,233811579,330481,47047809#0,47047809#1,603759507,690824735#0,690824735#1,690824735#2,690824735#3
road698,3,330437#0,41518094#0,47047809#1
road699,1,-609058172#0
road700,2,-609058172#1,609058172#1
road701,1,-154540870#1
road702,6,-154540870#2,-19803901#1,-2498957#1,154540870#2,19803901#1,2498957#1
road703,2,-19803901#0,2498957#1
road704,1,-2498957#0
road705,1,101417332
road706,1,-154540870#0
road707,1,-154540886
road708,1,154540870#1
road709,1,-154540889#0
road710,4,-154540889#1,-154540889#2,154540889#1,154540889#2
road711,1,-154540890
