ID,mean,std,p50,p85
-154029153#3,12.163000,5.435000,10.236000,16.850000
-154029155,5.115000,4.737000,3.639000,7.823000
-154029161#0,16.782000,11.475000,15.607000,28.782000
-154029161#1,16.782000,11.475000,15.607000,28.782000
-154029161#2,16.782000,11.475000,15.607000,28.782000
-154029161#3,16.782000,11.475000,15.607000,28.782000
-154029161#4,16.782000,11.475000,15.607000,28.782000
-154029161#5,16.782000,11.475000,15.607000,28.782000
-154029164#0,10.833000,7.885000,9.158000,18.607000
-154029164#1,10.833000,7.885000,9.158000,18.607000
-154029164#2,10.833000,7.885000,9.158000,18.607000
-154029164#3,10.833000,7.885000,9.158000,18.607000
-154029164#4,10.833000,7.885000,9.158000,18.607000
-154029164#6,10.833000,7.885000,9.158000,18.607000
-154029164#7,10.833000,7.885000,9.158000,18.607000
-154029169#0,13.078000,7.584000,13.057000,18.734000
-154029169#1,13.078000,7.584000,13.057000,18.734000
-154029169#2,13.078000,7.584000,13.057000,18.734000
-154029169#3,13.078000,7.584000,13.057000,18.734000
-154029169#4,13.078000,7.584000,13.057000,18.734000
-154029169#5,13.078000,7.584000,13.057000,18.734000
-154029169#6,13.078000,7.584000,13.057000,18.734000
-154029169#7,13.078000,7.584000,13.057000,18.734000
-154116813,16.166000,5.273000,15.242000,21.022000
-154132277,10.271000,5.235000,10.414000,14.895000
-154132290#0,11.699000,7.926000,11.596000,20.117000
-154132290#1,11.699000,7.926000,11.596000,20.117000
-154132290#2,11.699000,7.926000,11.596000,20.117000
-154540870#0,14.220000,5.415000,13.344000,15.833000
-154540870#1,14.220000,5.415000,13.344000,15.833000
-154540870#2,14.220000,5.415000,13.344000,15.833000
-154540881#0,11.819000,4.291000,10.929000,14.516000
-154540881#1,11.819000,4.291000,10.929000,14.516000
-154540881#2,11.819000,4.291000,10.929000,14.516000
-154540881#3,11.819000,4.291000,10.929000,14.516000
